sid,search,"splunk_server","_time","is_realtime","event_count","exec_time","result_count","scan_count",status,"total_run_time","api_et","api_lt","search_et","search_lt","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_api_et","__mv_api_lt","__mv_search_et","__mv_search_lt"
"1404694759.164","search index=mygizmostoreindex action=purchase | stats count by productId","Greg-HP","1404694759.937287",0,828,1404694760,12,828,completed,"0.469000",,,,,,,,,,,,,,,,,,,
"1404694847.165","search index=mygizmostoreindex action=purchase | stats sum(productId)","Greg-HP","1404694847.859040",0,828,1404694848,1,828,completed,"0.422000",,,,,,,,,,,,,,,,,,,
"1404694865.166","search index=mygizmostoreindex action=purchase | top productId | stats sum(productId)","Greg-HP","1404694865.830271",0,828,1404694866,0,828,completed,"0.562000",,,,,,,,,,,,,,,,,,,
"1404694871.167","search index=mygizmostoreindex action=purchase | top productId","Greg-HP","1404694871.196681",0,828,1404694871,10,828,completed,"0.515000",,,,,,,,,,,,,,,,,,,
"1404694884.168","search index=mygizmostoreindex action=purchase | top productId | fields - percent","Greg-HP","1404694884.160303",0,828,1404694884,10,828,completed,"0.515000",,,,,,,,,,,,,,,,,,,
"1404694908.169","search index=mygizmostoreindex referer!=*MyGizmo*","Greg-HP","1404694908.433945",0,2195,1404694908,2195,8621,completed,"3.245000",,,,,,,,,,,,,,,,,,,
"1404694932.170","search index=mygizmostoreindex referer!=*MyGizmo* | top referer | fields - percent | stats sum(count)","Greg-HP","1404694932.489187",0,2195,1404694932,1,8621,completed,"0.734000",,,,,,,,,,,,,,,,,,,
"1404694949.171","search index=mygizmostoreindex referer!=*MyGizmo* | top referer | fields - percent | stats avg(count)","Greg-HP","1404694949.196817",0,2195,1404694949,1,8621,completed,"0.812000",,,,,,,,,,,,,,,,,,,
"1404694983.172","search index=mygizmostoreindex referer!=*MyGizmo* | top referer | fields - percent","Greg-HP","1404694983.267276",0,2195,1404694983,3,8621,completed,"0.734000",,,,,,,,,,,,,,,,,,,
"1404695005.173","search index=mygizmostoreindex referer!=*MyGizmo* | top referer | fields - percent | stats avg(count)","Greg-HP","1404695005.668915",0,2195,1404695005,1,8621,completed,"0.609000",,,,,,,,,,,,,,,,,,,
"1404695107.174","search index=mygizmostoreindex action=purchase | stats count by productId | addcoltotals labelfield=Total label=AllProducts","Greg-HP","1404695107.396494",0,828,1404695107,13,828,completed,"0.562000",,,,,,,,,,,,,,,,,,,
"1404695159.175","search index=mygizmostoreindex action=purchase | stats count by productId | addcoltotals labelfield=Total label=AllProducts","Greg-HP","1404695159.157384",0,828,1404695159,13,828,completed,"0.453000",,,,,,,,,,,,,,,,,,,
"1404695767.178","search index=mygizmostoreindex action=purchase  | stats count by productId ","Greg-HP","1404695767.971729",0,828,1404695768,12,828,completed,"0.452000",,,,,,,,,,,,,,,,,,,
"1404695827.179","search index=mygizmostoreindex action=purchase  | stats count by productId | sort -count","Greg-HP","1404695827.731147",0,828,1404695828,12,828,completed,"0.495000",,,,,,,,,,,,,,,,,,,
"1404695908.180","search index=mygizmostoreindex action=purchase  | head 100 | stats count by productId | sort -count","Greg-HP","1404695908.320957",0,100,1404695908,10,499,completed,"0.454000",,,,,,,,,,,,,,,,,,,
"1404695938.181","search index=mygizmostoreindex action=purchase  | tail 100 | stats count by productId | sort -count","Greg-HP","1404695938.534641",0,0,1404695938,11,828,completed,"0.547000",,,,,,,,,,,,,,,,,,,
"1404696209.182","search index=mygizmostoreindex sourcetype=access_*","Greg-HP","1404696209.383313",0,8621,1404696209,8621,8621,completed,"5.476000",,,,,,,,,,,,,,,,,,,
"1404696293.183","search index=mygizmostoreindex sourcetype=access_* | eval SuccessRatio = if(status==200,""OK"",""FAILED""), count(eval(action=""purchase"")) as Actual_Purchases","Greg-HP","1404696293.672062",0,,,,,,,,,,,,,,,,,,,,,,,,,
"1404696332.184","search index=mygizmostoreindex sourcetype=access_* | eval SuccessRatio = if(status==200,""OK"",""FAILED"") | stats count by SuccessRatio","Greg-HP","1404696332.859330",0,8621,1404696333,2,8621,completed,"0.703000",,,,,,,,,,,,,,,,,,,
"1404696470.185","search index=mygizmostoreindex sourcetype=access_* method=GET | stats count as Page_Views, count(eval(action=""purchase"")) as Actual_Purchases","Greg-HP","1404696470.420370",0,6076,1404696470,1,6076,completed,"0.625000",,,,,,,,,,,,,,,,,,,
"1404782894.282","search index=mygizmostoreindex sourcetype=access_* method=GET | stats count as Page_Views, count(eval(action=""purchase"")) as Actual_Purchases","Greg-HP","1404782894.703067",0,6076,1404782895,1,6076,completed,"0.796000",,,,,,,,,,,,,,,,,,,
"1404783069.283","| eventcount summarize=false index=* index=_* | dedup index","Greg-HP","1404783069.492996",0,,,,,,,,,,,,,,,,,,,,,,,,,
"rt_1404783101.284","| metadata type=sourcetypes | search totalCount > 0","Greg-HP","1404783101.067451",1,,,,,,,,,,,,,,,,,,,,,,,,,
"rt_1404783106.285","| metadata type=sourcetypes | search totalCount > 0","Greg-HP","1404783106.480661",1,,,,,,,,,,,,,,,,,,,,,,,,,
"1404783112.286","search host=greg-hp","Greg-HP","1404783112.876672",0,537,1404783113,537,537,completed,"1.030000",,,,,,,,,,,,,,,,,,,
"1404783339.287","search host=greg-hp","Greg-HP","1404783339.772471",0,678,1404783340,678,678,completed,"1.030000",,,,,,,,,,,,,,,,,,,
"1404783351.288","search host=greg-hp | tail 20","Greg-HP","1404783351.753292",0,20,1404783352,20,678,completed,"0.781000",,,,,,,,,,,,,,,,,,,
"1404783403.289","search host=greg-hp","Greg-HP","1404783403.373782",0,678,1404783403,678,678,completed,"0.843000",,,,,,,,,,,,,,,,,,,
"1404783426.290","search host=greg-hp source=WinEventLog:Application","Greg-HP","1404783426.664622",0,391,1404783427,391,391,completed,"0.999000",,,,,,,,,,,,,,,,,,,
"1404783440.291","search host=greg-hp source=WinEventLog:Application | tail 20","Greg-HP","1404783440.470646",0,20,1404783440,20,391,completed,"0.703000",,,,,,,,,,,,,,,,,,,
"1404783477.292","search host=greg-hp source=WinEventLog:Application | head 20","Greg-HP","1404783477.146310",0,20,1404783477,20,51,completed,"0.609000",,,,,,,,,,,,,,,,,,,
"1404783660.2","search host=greg-hp source=WinEventLog:Application | head 20","Greg-HP","1404783660.564378",0,0,1404783660,0,0,completed,"0.547000",,,,,,,,,,,,,,,,,,,
"1404783734.3","search host=greg-hp source=WinEventLog:Application | head 20","Greg-HP","1404783734.336907",0,0,1404783734,0,0,completed,"0.562000",,,,,,,,,,,,,,,,,,,
"1404783791.2","search host=greg-hp source=WinEventLog:Application | head 20","Greg-HP","1404783791.979007",0,0,1404783792,0,0,completed,"0.437000",,,,,,,,,,,,,,,,,,,
"1404783805.3","| eventcount summarize=false index=* index=_* | dedup index","Greg-HP","1404783805.551031",0,,,,,,,,,,,,,,,,,,,,,,,,,
"1404783852.4","| eventcount summarize=false index=* index=_* | dedup index","Greg-HP","1404783852.046918",0,,,,,,,,,,,,,,,,,,,,,,,,,
"rt_1404783916.5","| metadata type=sourcetypes | search totalCount > 0","Greg-HP","1404783916.099432",1,,,,,,,,,,,,,,,,,,,,,,,,,
"rt_1404784105.2","| metadata type=sourcetypes | search totalCount > 0","Greg-HP","1404784105.815504",1,,,,,,,,,,,,,,,,,,,,,,,,,
"rt_1404784110.3","| metadata type=sourcetypes | search totalCount > 0","Greg-HP","1404784110.355112",1,,,,,,,,,,,,,,,,,,,,,,,,,
"1404784123.4","search source=WinEventLog:Application","Greg-HP","1404784123.381135",0,0,1404784123,0,0,completed,"0.625000",,,,,,,,,,,,,,,,,,,
"1404784134.5","search host=greg-hp","Greg-HP","1404784134.659954",0,0,1404784134,0,0,completed,"0.375000",,,,,,,,,,,,,,,,,,,
"1404784145.6","| eventcount summarize=false index=* index=_* | dedup index","Greg-HP","1404784145.798374",0,,,,,,,,,,,,,,,,,,,,,,,,,
"rt_1404784153.7","| metadata type=sourcetypes | search totalCount > 0","Greg-HP","1404784153.816788",1,,,,,,,,,,,,,,,,,,,,,,,,,
